stimulus_id,Happy,Beauty,Calm,Energizing,Angry,Electric/Acoustic,Distorted/Clear,Heavy/Light,Punchy/Smooth,Harmonious/Disharmonious,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
my2MceeTLxc,moderately,very,moderately,moderately,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
p_6ua9LLqy0,very,moderately,very,moderately,moderately,Electric,Distorted,undefined,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
hS3bS7GksVk,moderately,not,moderately,very,moderately,Electric,Distorted,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
erLps-ZnGlc,not,moderately,not,moderately,very,undefined,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
Njz2KfUZ36o,not,not,not,very,very,Electric,undefined,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
zgYKLgKXZjQ,not,moderately,very,not,very,Acoustic,Distorted,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
uIpha8-eBes,very,moderately,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
nAX5Ib3h0bU,not,not,moderately,moderately,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
zmd44gV9raw,very,very,very,moderately,not,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
tYjBs906Aw8,very,moderately,very,not,not,undefined,Clear,undefined,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
04ww4xZ8pH4,moderately,not,moderately,not,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
pg0HQGyFdDc,not,not,not,moderately,very,Electric,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
KD1XHjYhvVU,very,very,very,not,not,Acoustic,undefined,Light,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
KpdJNeu2Y34,very,very,moderately,very,not,Electric,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
XQ6Cm2sXveU,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
7I-gYw0HVvU,very,very,moderately,not,not,undefined,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
BS9a4CFppMo,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
bkJxh88VNnc,moderately,not,not,moderately,moderately,undefined,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
zqvBh_9EQSc,moderately,not,not,very,moderately,undefined,undefined,Heavy,Punchy,undefined,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
nP-zU9Bn560,moderately,very,moderately,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
z3Rub01-9J0,very,very,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Tubf9a3Asxw,moderately,not,moderately,moderately,moderately,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
XG7tiYSHwTo,moderately,moderately,very,not,not,Electric,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
DqU8fARtNFA,not,moderately,very,not,not,Acoustic,Clear,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
RWhvhHg8JnU,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
-SEKfzdaIK0,very,not,not,very,not,undefined,Distorted,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
9h4cr4C1rhc,not,not,moderately,not,moderately,undefined,undefined,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
mCexl35l7BQ,very,moderately,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
IUMGZBXMi0M,not,moderately,moderately,very,very,Acoustic,Clear,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
_H9hUA0Ck8c,not,not,not,not,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,BOTH children and adults,Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Boys/men
Ig3eyG9baPw,moderately,not,not,moderately,very,Acoustic,undefined,Light,Smooth,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
-Mqc2csT3ZM,moderately,moderately,very,not,not,undefined,Distorted,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
Hkae1vy8HPA,very,very,moderately,very,not,Electric,Clear,undefined,undefined,Harmonious,Adults (including young adults),BOTH feminine and masculine voices,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
tqvV2uFPCfs,moderately,not,not,very,very,Acoustic,Clear,undefined,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
6Pv0_aeYoCE,moderately,not,moderately,moderately,moderately,Electric,Distorted,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
PN1BbPGS_RQ,moderately,moderately,moderately,very,not,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
zaOUWigiEVM,not,not,not,moderately,very,Acoustic,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
pmDUZFSQPKI,moderately,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
705VQvekdx8,very,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
E8GschBoKMA,very,very,very,moderately,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
11tm3fB0E2g,very,moderately,moderately,very,not,undefined,Distorted,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
qMYgXfbpM3E,moderately,moderately,not,very,very,undefined,undefined,Light,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
qkvhvZQW2rM,very,very,very,moderately,not,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
e6CJ0qsyJjQ,very,moderately,very,not,not,undefined,undefined,Light,Smooth,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
ZHYihxwUzbM,very,very,very,moderately,moderately,Acoustic,undefined,undefined,undefined,undefined,BOTH children and adults,Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
T6oQFzxk8HU,not,not,not,not,moderately,Acoustic,Clear,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
6ZhSFjnUvBs,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
8on6Bja3ymY,moderately,moderately,not,very,moderately,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
_JIlOyI0LUA,moderately,moderately,moderately,moderately,not,Electric,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
BohuEtYqfOA,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
m12mtTl6eMc,not,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
oc3VxkmHMx0,very,moderately,very,not,moderately,undefined,Clear,undefined,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
lHmmtj8270k,moderately,very,very,not,not,undefined,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,Girls/women
6NL_inUJ-yE,moderately,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
5RVqzWqVpME,very,very,very,not,not,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
NajVEu7_lQU,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
rjylcwEXkPU,very,very,very,not,not,undefined,undefined,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
LgDsU1GONwI,very,moderately,moderately,very,moderately,undefined,undefined,Light,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
1yH1AS7GGZU,moderately,very,very,not,not,undefined,undefined,Light,undefined,undefined,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
B3koQlnaEL8,very,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
eIUvtChuEs0,not,not,not,very,very,Acoustic,Distorted,Heavy,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
wxbvq4A02uQ,moderately,moderately,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
lk2g6a0eS88,moderately,not,not,not,not,Acoustic,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
3vqm0DO40gU,not,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
Lt5lr8mebNY,not,not,moderately,not,very,Acoustic,Clear,undefined,Smooth,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
XRclPERrLVc,not,not,not,moderately,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
QhM5cqvPfb0,very,moderately,not,moderately,moderately,undefined,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
lXEc9Oueszg,very,moderately,very,moderately,moderately,undefined,undefined,undefined,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
yQgb0LJUIlU,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
LmmNeskIG-c,very,not,not,very,very,Acoustic,Clear,Light,Smooth,Harmonious,Children,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
ZoRBJa773Rk,moderately,not,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
bEWuMC5K7vQ,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
InjI6hTzBNQ,very,moderately,very,moderately,moderately,Acoustic,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
PowcVq11vCg,not,moderately,very,moderately,not,undefined,undefined,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
dNeLMKNiAN8,moderately,moderately,not,very,very,undefined,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),BOTH feminine and masculine voices,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
7PXUuEIDJnE,not,very,very,not,not,Electric,undefined,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
_quNZ5u2qag,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
bpKUFzL1qFM,not,not,moderately,not,moderately,undefined,undefined,Light,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
QjMA3hc_PVA,not,not,not,not,moderately,undefined,Clear,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
mMR_LTavLq4,moderately,not,not,very,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
NHcDF9wyXpM,moderately,not,not,very,very,undefined,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
1RLA2K18riE,very,very,very,not,not,undefined,Clear,Light,Smooth,Harmonious,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
sS_hpPzuLQ8,moderately,not,moderately,very,very,Acoustic,Clear,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
zNLbDvnYln0,very,very,very,not,moderately,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
9lIP11Pbu10,very,very,moderately,very,not,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Girls/women
39QOYRNmfjg,very,not,not,moderately,not,Acoustic,Clear,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
KfDNYin9fDA,moderately,not,not,very,not,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
rKe2vkFIUbY,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
PVsSoRwd0Qo,not,not,not,not,moderately,undefined,undefined,Light,Smooth,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
0nAk-a4j7dE,very,very,very,moderately,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
VFXSd8qc7Xk,moderately,moderately,not,very,moderately,undefined,undefined,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
8y6pDQTKjrk,very,very,moderately,very,moderately,undefined,Clear,undefined,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
yVNl_oSo7bI,very,not,very,not,not,Acoustic,Clear,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
i7zsJj3XgBc,very,moderately,moderately,moderately,not,undefined,Clear,undefined,Smooth,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
viov3zTevto,moderately,moderately,moderately,not,not,undefined,Clear,Light,undefined,undefined,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Nej7R1969c0,not,not,moderately,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
9cEyFO2Eqo4,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
q-7SBSxKxKo,not,not,not,not,very,Acoustic,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
_KXsBwbeaSY,moderately,not,moderately,not,not,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
f-CA3IUQAWM,very,very,very,not,not,undefined,Clear,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
V5-Q-DY8WFM,moderately,very,not,very,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Children,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
pTe7yJS0mqU,not,not,not,not,moderately,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
x75PlcuAiNc,not,moderately,moderately,moderately,not,undefined,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
xfIDBV2R5fw,very,very,very,moderately,not,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
tUfD12KNGMQ,not,moderately,not,very,very,Electric,undefined,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
Nvc5N3L3yjA,very,moderately,moderately,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,Girls/women
JU2XXwkCav4,moderately,very,very,moderately,moderately,Acoustic,Clear,undefined,undefined,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
79j4Qnyb7dg,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
AYI3Gau3mWo,moderately,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
E-7oPgt5dn8,not,moderately,moderately,not,not,undefined,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
Y_TqObDvE24,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
daHsUZiM6p8,moderately,moderately,not,very,moderately,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
wdOfg3UPqzA,very,very,not,not,not,Electric,undefined,Heavy,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
Tk7PvxU93oA,very,very,moderately,not,not,Acoustic,undefined,Light,undefined,Harmonious,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
m2fzOo3-Lq4,moderately,not,moderately,moderately,not,Acoustic,Clear,Light,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
k0q5zWesa1k,very,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
lHCfrK-nIQU,not,very,very,moderately,very,Electric,Distorted,Heavy,Smooth,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
iD1Eac2X6A4,very,very,very,moderately,moderately,Electric,Distorted,undefined,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
s-Q4sffZjo8,moderately,moderately,very,very,moderately,Electric,undefined,Heavy,Punchy,undefined,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
zg1nAydNm_A,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
HkESWe-VmCw,not,not,moderately,not,moderately,Electric,undefined,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
EjxILHpT7I8,moderately,moderately,not,very,moderately,Acoustic,undefined,undefined,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
B4FsikjiUHA,moderately,moderately,very,not,not,undefined,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
26hYGh4SYX4,not,not,not,not,very,Electric,Distorted,Heavy,Punchy,undefined,BOTH children and adults,Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
33BwTrRpbR0,very,moderately,not,moderately,moderately,undefined,Clear,undefined,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
cU6os7foP1g,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
hEIrqBhIbmk,very,not,moderately,moderately,not,undefined,Distorted,Heavy,Punchy,undefined,BOTH children and adults,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
zabpEcBueg8,not,not,not,moderately,very,Electric,undefined,undefined,undefined,Disharmonious,BOTH children and adults,Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
jJc3CUlCiOo,moderately,moderately,moderately,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
XiHahyPA14A,not,not,not,moderately,very,undefined,undefined,Heavy,undefined,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
vdWc1qLStAs,moderately,not,moderately,very,not,Acoustic,undefined,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
DOO0-chRLHY,not,not,not,not,moderately,Electric,Distorted,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
a1F2Vm6lVNU,very,moderately,not,not,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
sP6RnFMqDnI,not,not,moderately,moderately,not,Electric,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
rBnSfDaDVQI,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,BOTH children and adults,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
GGlOzSB1R-w,not,not,not,very,very,Electric,undefined,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
Tv-pC4g9Tp8,very,not,moderately,very,not,Electric,Distorted,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
sbqlihZzH1w,not,moderately,moderately,not,moderately,undefined,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
26jBFBmrmr4,not,not,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
DWi19R_1ugo,very,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
EsoVjRdPCoU,moderately,moderately,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
x1Vhqc54Sgs,very,moderately,moderately,very,not,Acoustic,Clear,Light,Punchy,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
v_nZmNvP9J4,moderately,very,moderately,very,not,Electric,undefined,Light,undefined,Disharmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
FqGfNOYo0co,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
S6qGevXNPaw,moderately,moderately,moderately,moderately,moderately,Acoustic,Clear,Light,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
U8w09p6T8r4,not,not,very,not,not,undefined,Distorted,undefined,undefined,undefined,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
OdDQthpq2Xo,moderately,very,very,moderately,not,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Girls/women
14kqmlI3G80,moderately,not,not,very,not,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
tXrsSbHI0sQ,very,very,not,moderately,not,Electric,undefined,undefined,Punchy,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
Bt3xT0QvitI,moderately,moderately,moderately,very,moderately,Acoustic,undefined,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
9cy0NymlDV0,moderately,moderately,very,not,not,Acoustic,undefined,undefined,Smooth,undefined,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
k8oFPfgOkzI,not,not,not,moderately,very,Acoustic,undefined,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
mo3JXjRkl54,very,moderately,very,very,not,undefined,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
ENjv1qKNS4A,very,very,moderately,moderately,not,undefined,undefined,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
AJKBKR6MPO0,very,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
