stimulus_id,product_category,filming_location,target_of_toy_ad,interaction,voice_type,voice_age,voice_gender,voice_exagg,asian,black,white,other,title,description,upload_date,transcript,domesticity_nurturing_cues,consumerism_cues,fashion_beauty_cues,nature_animals_cues,love_tenderness_cues,magic_fantasy_cues,action_adventure_cues,fight_combat_cues,speed_racing_cues,horror_monsters_cues,science_technology_cues,sports_cues,gross-out_cues,fun_play_cues,arts_crafts_cues
tunMW9JZVCc,"Arts, Crafts and Musical Instruments",Indoors,Boys/men,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Qixels 3D,"Qixels 3D Design Maker
The Qixels 3D Design Maker gives you the power to shape and create Qixels in 3D! Use the 3D Maker's unique 'layer by layer' technology to add another dimension to your creations and make them stand out from the rest. Build them up and build them out and start building a 3D Qixel World! Build up your design and brush with water and they magically stick together! When they dry, they stay and you’re ready to play! There are tonnes of cool themes to choose from in the 3D range!
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/qixels/qixels-3d-design-maker/p/153807

Qixels 3D Theme Refill Pack Series 4 – Assortment
Qixels are the cubes that fuse together when sprayed with water. The Qixels 3D Refil Pack contains 300 Qixels 3D cubes to be used with the Qixels 3D Maker (sold separately) Create a variety of super cool Qixels characters and objects. 6 themes to collect Alien Strikers, Bugs Outbreak, Jungle World, Air Speed, Arctic Wild, Dino Danger (Each sold separately) Refill Pack Contents: 300 cubes, 20 single support cubes, 8 3x3 support cubes, 12 3x1 support cubes, 15 2x1 support cubes, 3 3D maker design templates, a bag tag and a thread
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/qixels/qixels-3d-theme-refill-pack-series-4-%E2%80%93-assortment/p/157217",20170705," Quixels! The cubes that fuse with water are going 3D! Create amazing 3D designs with the Quixels 3D Maker! Build your design one layer at a time! Fuse with water, then flip and build again! Then dry! There's tons of designs you can create! 3D aliens, turtles,",,,,,,,,,,,3D-Maker build,,,,3D-Maker design
hgORULxqBqU,"Arts, Crafts and Musical Instruments",Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - 3D Magic Jewellery Charm Set,"Create and design your very own personalised jewellery with the 3D Magic Jewellery Charm set. The 3D Maker is a revolutionary toy that allows you to create 3D masterpieces from scratch using gel pens and the UV creation station. Children are able to make their 3D creations in four simple steps. Step 1; place coloured UV gel into a mould. Step 2; place the mould into the UV Creation Station for 10 seconds to cure the ink. Step 3; take the plastic pieces out of the mould. Step 4; Build a 3D creation by connecting the pieces together, using the gel as a glue.",20150728," Want to design and create in real 3D? Now you can with the 3D Magic 3D Maker. Start with the magic gel to start your design, then pop it into the maker. No heat, no glue, no mess. Now complete your creation for an awesome 3D sensation. There are three different ways to design. You can trace a stencil, fill a mold, or use the free play template to make up something on your own. Wow! You can design, develop,",,,awesome,,,magic,,,,,3D-Maker ,,,,3D-Maker design create stencil mold template
pBxyBLjr7sM,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,BOTH children and adults,Feminine,"No, all voices are normal-sounding",Yes,No,Yes,No,Smyths Toys - Lalaloopsy Glitter Potty Surprise,"Lalaloopsy Babies Potty Surprise Mittens Fluff ‘n’ Stuff magically poops a surprise shape in her potty! Feed Baby Mittens Fluff ‘n’ Stuff baby food and when she's ready to go, place her on the potty and she will magically a poop different shapes every time! It includes three

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/lala-loopsy/lalaloopsy-glitter-potty-surprise/p/160148

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/lala-loopsy/c/SM06010416",20170920," Lala Loopsie's Potty Surprise Feed her food before your eyes Put her on the pot, look inside What will you get? Potty Surprise! Lala Loopsie Baby's Potty Surprise magically poops surprises over and over again It's potty time!",potty baby poops potty-time,,,,,,,,,,,,,surprise,
bbbGSR6NAo8,(Group) Games and Puzzles,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Hide & Seek Safari Monkey TV commercial,,20120726," Hide and Seek Monkey! Let's hide the monkey over here. Are you ready? Follow the lights on the Seeker Wand. You're cold, still cold, getting warmer. Uh oh, you're very warm. Found",,,,monkey,,wand,,,,,,,,hide-and-seek,
LEmyGcnBMms,Toy Vehicles (Powered and Non-Powered),BOTH indoors and outdoors,Mixed,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,Yes,Yes,No,CAT Junior Crew Construction Buddies - Smyths Toys,"The Cat Construction Buddies are not only built for action but for helping your child to develop their fine motor skills and curiosity.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/construction-vehicles/cat-junior-crew-construction-pals-asst/p/188616

https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/construction-vehicles/cat-junior-crew-construction-buddies-wheel-loader/p/188617

https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/construction-vehicles/cat-junior-crew-construction-buddies-dump-truck/p/188618

https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/construction-vehicles/cat-junior-crew-power-track-friends/p/188619

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201002, The Cat Junior crew is here and they're ready to get the job done! Fun animated friends that bring your favorite construction trucks to life! Dig in with Construction Pals Keep things going with Construction Buddies and Powertrack Friends Train Set Who said you can't have a little fun,,,,cat,,,,,trucks powertrack train,,construction,,,fun,
xmZqmEXulA4,None of the Above,Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,Yes,Yes,No,YoFinity Assortment- Smyths Toys,"With YoFinity you can create a light show like no other.

Buy online https://www.smythstoys.com/uk/en-gb/toys/sensory-toys/fidget-toys/yofinity-assortment/p/205489

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211203, Yo Finiti! Are you ready to join the YoLight revolution? Watch its Infinity Light inside as you perform amazing tricks! Yo Finiti features tech mirrors combined with LED lights to create mind-blowing light effects! Unleash its power and invent new tricks! Become better! Master the light! Conquer the best tricks! Get ready to unleash the lights with the new Yo Finiti! From Goliath!,,,,,,,,conquer,,,tech LED,,,,
jYnVugDxErs,"Apparel, Fashion, Accessories, Cosmetics, Costume and Dress-Up (not Dolls)",Indoors,Mixed,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Yes,Yes,Yes,No,Sneak Artz - Smyths Toys,"Express yourself, get creative and be unique with Sneak’Artz! Each easy craft kit comes with everything you need. Collect all 24 sneakers and personalise them with the assorted washable pens and stickers and add charms to make them shine.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/crafts/sneak-artz-shoe-box-assortment/p/196536

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210115," SneakArtz! Set the head with your artistic touch and fantasy! SneakArtz! Choose your style and paint it! SneakArtz! Hey! Say it! Spray it! United colors! Be the one! Be unique! With a touch of classy forever and ever! SneakArtz! 24 sneaker styles to personalize! Special pens and spray! Sneakers, stencils and charms! SneakArtz! Choose it! Spray it! Draw it! Personalize it! Say who you are! S-",,sneakers charms,classy charms,,,fantasy,,,,,,,,,artistic stencils
vnkTkVvn4Yc,"Action Figures, Battling Toys and Toy Weapons",Non-specific,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,No,Yes,No,VTech Switch & Go Dinos Riot the T-Rex and Overseer the T-Rex - Smyths Toys,"These exciting 2-in-1 products switches between a T-Rex and a race car! Use the remote control to race in both dino and vehicle modes!

Buy online at https://www.smythstoys.com/ie/en-ie/toys/action-figures-and-playsets/dinosaur-toys/vtech-dino/switch-and-go-dinos-riot-the-t-rex/p/189771

Browse our VTech Dino range at https://www.smythstoys.com/ie/en-ie/toys/action-figures-and-playsets/dinosaur-toys/vtech-dino/c/SM06010228

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200908," Introducing Overseer the T-Rex! I smell a dino! With one press, unleash the robot! I'm undefeatable! And here comes Riot! He's on a roll! He switches between a dino and a race car! Coming through! Switch and Go Dinos from VTEC!",,,,,,,,undefeated riot,race car,T-Rex dino,robot,,,,
a0L1IzEMQ_c,"Arts, Crafts and Musical Instruments",Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Ravel Tails Surprise Box - Smyths Toys,"The more you unwind… the more you find! Unravel the multi-coloured, rainbow wool to reveal 9 cute surprises, including your lovable, collectable soft animal toy.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/ravel-tails-surprise-box-assortment/p/189760

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200622," ravel tails let's unwind, what surprises will you find? Adorable pets just for you ",,,,tails pets,adorable,,,,,,,,,surprises,
FsItakNM2wI,(Group) Games and Puzzles,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,Yes,Yes,No,Slime Surgery - Smyths Toys,"With Slime Surgery you have to operate carefully, can you operate and make your Alien better? Or will you make him wake and shake!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/games-puzzles-and-books/board-games/children-s-board-games/slime-surgery/p/192265

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201221," Too much space junk? Slime Surgery! Inside the gross slime, space junk awaits to be pulled out! But don't pinch the alien, because if you do... Will you find all the objects and save the alien? Slime Surgery by Funville!",,,,,,,,,,alien,space-junk ,,,,
6sKnzn9diL8,Collectibles (Toys and Trading Cards),Indoors,Girls/women,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Smyths Toys - Little Live Pets Butterfly,"Little Live Pets Butterfly is your new pet friend that magically comes alive and flutters in the palm of your hand! Feel how real your new friend feels as it flaps and flitters its stunning wings just for you. Your Little Live Pet Butterfly feeds and gets energy from the included flower base, the more you feed your pet the happier she becomes. With her wings dancing magically in the palm of your hand this is the life like pet that every child wants! Collect Candy Swirl, Rainbow Star, Flutter Heart, Love Art, Confetti Fair and Crystal Bright (Each sold separately)
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-831/little-live-pets/p-13896/little-live-pets-butterfly-series-3-assorted/",20150918," Little Life Pets! Now there's a whole new collection of adorable butterflies for you to love! With all new beautiful wings that sparkle and magically flutter to life! The more you feed them and play with them, the more they'll flutter just for you! How could you choose to love them?",feed spoon,collection,sparkle,pets,adorable,magically,,,,,,,,play,
jBIWrAAq-3Q,"Action Figures, Battling Toys and Toy Weapons",Non-specific,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,Yes,Yes,No,NERF N-Strike Elite Hovering Target - Smyths Toys,"Up your game with the NERF Hovering Target. Whether for solo practice or competitive play with friends, the Hovering Target is a fun and exciting challenge for Elite battlers of all skill levels. Target focuses on accuracy with 4 foam balls that continuously float and weave on fan-powered air jets. Individual air control knobs allow you to adjust each ball's height, creating varying degrees of difficulty. And when not in use, a front compartment provides convenient ball storage. Includes a back net for catching darts and balls.

Buy online: https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/nerf/nerf-range/nerf-n-strike-elite-hovering-target/p/167972

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20190528, The future is here. With the Nerf Elite Hovering Target. Play solo. Or with a friend. Test your skills with four foam balls and air kits. Take your elite battling skills to the next level. With the Nerf Elite Hovering Target. It's Nerf.,,,,,,,,target battling,,,,,,,
t9Cmn8w36LI,Collectibles (Toys and Trading Cards),Non-specific,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,Yes,Yes,No,L.O.L. Surprise! Fluffy Pets Winter Disco Series with Removable Fur  - Smyths Toys,"Unbox 9 surprises including all new fluffy unboxing with L.O.L. Surprise! Fluffy Pets Winter Disco Series. Each Pet comes covered in snuggly, stick-on fur that you peel off to unbox and reveal an adorable Pet. Then place fur back on in different designs to make your pet fluffy again and again. Add water for a water surprise, like spitting and colour change. Each Pet comes packaged in a beautiful, crystal-shaped ball with a clear front to use as a display case. Add water to the ball to reveal another colourful, glitter surprise, because the ball becomes a snow globe, too! Collect L.O.L. Surprise! Glitter Globe, Fluffy Pets, and Lils in the Winter Disco Series, and you can connect the balls together to create a beautiful Snow B.B. Collect them all! Styles may vary.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/l-o-l-surprise-fluffy-pets-winter-disco-series-with-removable-fur-assortment/p/173209
📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20190920," LOL Surprise Fluffy Pets Winter Disco Fluffy Disguise Nine Surprises Who's Inside? Fluffy Pets! Hey, who is who? Take off the fluff! Raccoon to bunny! Yeah, so cute! Swap the fluff! Uh-huh! Fluffy Pets! Fluffy Pets! You can mix them up! Tiger to donkey! Yeah! So fluffy! LOL Surprise Fluffy Pets! LOL Surprise Fluffy Pets! LOL Surprise Fluffy Pets! Look for LOL Surprise Glitter Globe and Lils to build a snow BB! Keeps sold separately.",,,glitter,pets raccoon bunny tiger donkey ,cute,,,,,,,,,,
dmqgI4JCEuE,Toy Vehicles (Powered and Non-Powered),Non-specific,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Yes,No,Yes,No,Smyths Toys - Zuru Micro Boat Playset,"Get ready for some epic speed boat racing action with Microboats! With micro-robotic sensor technology to speed through the water in six directions including reverse activation and 360° doughnut speed. The Microboat race track provides the ultimate race experience, but watch out for the Shark as it tries to bite down on the track for the ultimate challenge! Collect all!

Buy online at http://www.smythstoys.com/uk/en-gb/toys/action-figures-playsets/c-343/other-action-figures-playsets/p-18658/zuru-micro-boat-playset/",20160712," The race is on with Zuru Microboats! Water activated, fully motorized miniature boats that really race in water! Smart sensor navigation technology lets you hit a wall and escape with a reverse turn! Handle in four directions and perform awesome 360 degree donuts! Experience extreme speeds and insane crashes! Boom! Check out all the customized designs! Then enter the racing track playset for the ultimate challenge! Barrel through almost 6 feet of curving tracks!",,,,,,,,crashes,race motorized boats speeds racing track,,smart-sensor technology,,,,
4bLSlZyZRXc,Toy Vehicles (Powered and Non-Powered),Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Blaze and the Monster Machines Light & Launch Hyper Loop,"It's time to crank the Hyper Loop so Blaze can light up the night and save the day in Axle City! Place Blaze in the Hyper Loop and charge it up using the lever to activate the Speed Lights. Once it's ready, press the release button and the Hyper Loop whips Blaze into an awesome 360-degree rotation and sends him blazing down the track. For more ways to play, configure the stunt towers into a spinning wall, a teetering bridge, or a stunt jump ramp!

Move the towers to different points on the playset for 9 different combinations! This set also comes with a uniquely decorated translucent Blaze vehicle. Your child can attach the Light & Launch Hyper Loop to the tunnels that come with any of Light Rider vehicles, as well as other Blaze playsets and accessories. Each sold separately and subject to availability.

Buy online at http://www.smythstoys.com/uk/en-gb/toys/pre-school-electronic-learning/c-947/blaze-and-the-monster-machines/p-22787/blaze-and-the-monster-machines-light-launch-hyper-loop/

Browse our range at http://www.smythstoys.com/uk/en-gb/toys/pre-school-electronic-learning/c-947/blaze-and-the-monster-machines/",20170220, Let's Blaze! Axle City's gone dark! Help Blaze light up the night sky with the Light and Launch Hyperloop. Send Blaze soaring through an illuminated 360 degree loop and select one of nine awesome stunts. Blaze and his Light Rider friends save the day with the Light and Launch Hyperloop. Additional vehicles sold separately.,,,,,,,stunts save-the-day,,hyperloop soaring,,,,,,
OxNe4IUIVk4,High-tech Interactive Playmates and Robotics,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Poopsie Dancing Unicorn - Smyths Toys,"Introducing the Poopsie Dancing Unicorn, she's ready to sing and shake her magical booty. Inspired by the popular, viral Poopsie ""My Poops"" music video on YouTube, the Poopsie Dancing Unicorn, Rainbow Brightstar, now sings and dances to her signature song. Dance along and be silly with her! Press the button on her belly, and she will sing and dance.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/poopsie/poopsie-dancing-unicorn/p/191965

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/poopsie/c/SM06010432

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200901," Poopsie Slime Surprise! My poops, my poops, my poops! Whatcha gonna do with all that poop? Poopsie Dancing Unicorn dances just like in her music video! She really sings too! Look at that magical booty shaking! Woo! Woo! Dance along as she moves her feet, shakes her belly, and sings her song! Poopsie Dancing Unicorn she really sings and dances!",,,,,,unicorn,,,,,,,poop,surprise,dancing music
cyc4PdMrf2k,Plush Toys,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),BOTH feminine and masculine voices,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Shimmeez- Smyths Toys,"Cuddle, dazzle and create with transforming sequin pets. These new plush characters are cute and loveable and have a cool transformation feature. Super soft and cuddly where you can create cool and crazy patterns right onto your toy, wipe it off and start again! Customise your plush with different designs, with so many to collect, the possibilities are endless!(Each sold separately)

Purchase product at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/shimmeez-8-/p/167998",20180803," Shimmy! They're sparkly, they're snuggly Shimmy's, shimmy's, shimmy's They glitz, glitter and twinkle They're soft, stylish animals Don't forget the craziest part You can create your own works of art! Shimmy's are stuffed animals covered in glittery sequins Flip the sequins to create amazing designs Design them over and over for endless fun! They're sparkly, they're snuggly Shimmy's, shimmy's, shimmy's $19.99 with a free gift and free shipping Colors and styles may vary",,,sparkly glitter twinkle stylish,animals,snuggly,,,,,,,,,craziest,create art
DX5qdgEvdlc,Outdoor and Sports,Outdoors,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,KickerBall by Swerve Ball - Smyths Toys,"From the makers of Swerve Ball comes a football like no other. With KickerBall, you can swerve, curve and kick like a pro.

Buy online at https://www.smythstoys.com/ie/en-ie/only-available-at-smyths-toys-superstores/kickerball-by-swerve-ball/p/164300

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210303," Kicker Ball! This is Kicker Ball! It swerves! It curves! It allows you to kick like a pro! The trick is the specially designed panels that cause the Kicker Ball to swerve, curve, bend, and bowl. Let's see what kind of awesome trick shots you can do! Kicker Ball! Bright, active fun from Character!",,,,,,,,,,,,kicker ball like-a-pro ,,fun,
lKvRSLtbfrI,"Action Figures, Battling Toys and Toy Weapons",Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,No,Yes,No,Smyths Toys - Turtle Creepeez,"They’re mean, green and back on screen! The official Teenage Mutant Ninja Turtles are back with the coolest wall crawlers around town. Flick them or fling them, they’re sticky, icky oozed covered feet stick to almost every surface and will do mind boggling stunts as they tumble to the floor. Watch their Tennage ninja abilities creep and crawl all the way down the wall! Providing endless entertainment, collect all 4 and bring your teenage mutant ninja turtles to life! Suitable for ages 4+
Get it now at http://www.smythstoys.com/uk/en-gb/toys/creativity-music-partyware/c-550/pocket-money/p-4532/turtle-creepeez/",20141124," Official Teenage Mutant Ninja Turtles Creepies! Flick em! Fling em! Watch em climb down your wall! Launch em like ninja stars! Throw em hard! They creep, they crawl with their ninja abilities! Check out their ninja climb!",,,,,,,climb,ninja,,mutant creepies creep ,,,,,
tRJRP6qUWiA,None of the Above,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys Sea Monkeys,Just add water and watch your live Sea-Monkeys hatch and grow! Turn down the lights and watch as they are projected on the wall.,20121002," It's the amazing live Sea Monkeys Big Show projector! Pull the eggs into the projector, then when hatched feed and watch them get bigger and bigger! Switch on the built in light to project your Sea Monkeys onto the wall and watch in amazement as they wiggle, swim and play!",,,,sea monkey eggs hatched,,,,,,,,,,wiggle play,
S8Sob8gzlUg,Toy Vehicles (Powered and Non-Powered),Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Ali-A Creates Awesome Stunts with Hot Wheels - Smyths Toys,"Challenge Accepted! Hot Wheels and gaming pro Ali A have teamed up to create some awesome stunts in the world of Trackbuilder and Roblox. Will you accept the challenge?

Shop the Infinity Loop Kit and other Hot Wheels Trackbuilder sets here: https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/hot-wheels/c/SM06010210

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #HotWheels #AliA",20210729," Hot Wheels have sent me a load of their Hot Wheels track builder sets, including an infinity loop. The question is, am I up for this challenge? Of course I am! Challenge accepted! Here we go, guys! Whoa!",,,,,,,,,wheels track,,,,,challenge,
l0DF8slvlls,High-tech Interactive Playmates and Robotics,Indoors,Mixed,They are working or playing together in a cooperative way,BOTH spoken and sung,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",No,No,Yes,No,Club Petz Mystery Mao- Smyths Toys,"Club Petz Mystery Mao may just look like an ordinary cat but Mystery Mao has special powers! Use your magic wand to bewitch him and hear him speak! Talk with him and play games to see if he can guess that you're thinking about. Mao is so funny, he loves to tell jokes and make you laugh. Mao can also guess any animal, sport or item of clothing. Mystery Mao is so wise! Mystery Mao purrs when you stroke his head and hisses when you touch the end of his tail. What’s more, he knows what time is it, so in the morning he will ask you if you have already had your breakfast, if you slept well or in the afternoon he will check how your day has been at school.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/club-petz-mystery-mao/p/167894

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20181010, Yuck! Think of an animal We've got it Does it have a long neck? Yes A pink elephant Just kidding A giraffe? Yes Yes I'm always right,,,,animal elephant giraffe,,,,,,,,,,,
UZI85fGTuAM,Outdoor and Sports,Indoors,Boys/men,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Messi Training System Soft Touch Training Ball - Smyths Toys,"Are your tired of running after the ball every time you try to dribble? The Soft-Touch Training Ball has an easy-grip detachable cord that allows you to practice aim and improve foot control without losing the ball.

Buy online at https://www.smythstoys.com/ie/en-ie/outdoor/sports-equipment/messi-training-system-white-soft-touch-training-ball/p/186157

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200706, The secret to be the greatest. Train like the greatest with the Messi Training System. A full circuit of training fun has begun. Messi Training Ball. Advance your foot skills. Juggle like Messi. This is over the top football action. Try out the Messi Soft Training Ball. You can practice with the cord attached or take it off to play like normal. The perfect ball for a pro like you. Train your way to greatness with the Messi Training System.,,,,,,,action,,,,,messi training ball foot-skills football pro,,,
Xxw3AwS7_o8,(Group) Games and Puzzles,Indoors,Mixed,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Bang On!,"Hammer out a few more seconds! Think of as many answers to the question as you can and the more you guess, the more times you 'bang on' and the more time you have to think of even more answers! Play in teams and be the first team to make it around the board to the winning space to win the game. But, watch out along the way for challenge cards and bust spaces on the board!

Subscribe to the Smyths Toys channel: https://goo.gl/rAosm1
Official Smyths Toys website:  https://www.smythstoys.com/",20171024," Things people take from hotel rooms, my lady. Ha-ha! Bathrobes! Slippers! Shampoo! Shower cap! What? Kettle! Hammer out a few more seconds with...",,,,,,,,,,,,,,,
NW9w3nKtjO4,"Apparel, Fashion, Accessories, Cosmetics, Costume and Dress-Up (not Dolls)",Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Orbeez Soothing Spa TV commercial,,20120817," Orbeez! Orbeez Soothing Spa Feels so sweet, Orbeez gives your feet a treat Hands, fingers, feet and toes Soothing Spa will soothe your woes When you need time to relax Orbeez!",,foot-spa,foot-spa,,,,,,,,,,,,
